CGCG074-064    ALMA           178.30             0.15*           2018/12/06_1   0.69580            NA             member.uid___A001_X133d_X41e.CGCG_074-064_sci.spw23_25_27_29.cont.I.pbcor.fits
NGC4945        ALMA           85.91              55.40           2016/06/24_1   1.27174            67.015         member.uid___A001_X5a3_X173.ari_l.NGC_494_sci.spw0_1_2_3_85907MHz.12m.cont.I.pbcor.fits
NGC4945        ALMA           93.60              119.88          2013/01/24_1   1.76777            85.246         uid___A002_X5b1929_X57d.continuum.fits
NGC4945        ALMA           103.29             158.80          2014/12/27_1   3.05965            69.989         member.uid___A001_X144_X21c.NGC4945_b_03_TE.cont.image.pbcor.fits
NGC4945        ALMA           113.29             75.55           2015/01/20_1   3.40000            6.724          member.uid___A001_X144_X218.NGC4945_a_03_TE_continuum.image.pbcor.fits
NGC4945        ALMA           222.93             469.73          2019/03/03_1   5.38912            58.230         member.uid___A001_X133d_X17d4.NGC4945_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC4945        ALMA           222.95             46.87           2016/12/01_1   0.46876            61.690         member.uid___A001_X888_X7a.ari_l.NGC4945_sci.spw0_1_2_3_222952MHz.12m.cont.I.pbcor.fits
NGC4945        ALMA           223.01             462.86          2017/09/01_1   5.29992            39.333         member.uid___A001_X1262_Xa1.NGC4945_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC4945        ALMA           223.35             460.03          2023/05/08_1   5.54648            28.300         member.uid___A001_X2d20_X37d6.NGC_4945_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC4945        ALMA           225.07             503.15          2021/11/05_1   5.79378            120.836        member.uid___A001_X1590_X1bfc.NGC4945_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC4945        ALMA           225.07             89.08           2022/05/07_1   0.75123            106.769        member.uid___A001_X1590_X1bfa.NGC4945_sci.spw25_27_29_31.cont.I.pbcor.fits
NGC4945        ALMA           225.17             523.33          2019/08/19_1   5.50943            150.946        member.uid___A001_X1458_X158.NGC_4945_sci.spw16_18_20_22_24.cont.I.pbcor.fits
NGC4945        ALMA           225.98             596.56          2014/06/11_1   5.45371            31.021         member.uid___A001_X122_X54.ari_l.NGC4945_sci.spw0_1_2_225977MHz.7m.cont.I.pbcor.fits
NGC4945        ALMA           226.10             161.12          2014/12/28_1   1.08714            36.532         member.uid___A001_X122_X52.ari_l.NGC4945_sci.spw0_1_2_226102MHz.12m.cont.I.pbcor.fits
NGC4945        ALMA           236.03             569.09          2018/09/27_1   4.96649            33.384         member.uid___A001_X1288_X4e5.ngc4945_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC4945        ALMA           258.80             683.43          2018/09/06_1   5.60759            18.997         member.uid___A001_X1288_X4df.ngc4945_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC4945        ALMA           320.63             82.30           2016/11/18_1   0.34784            30.010         member.uid___A001_X87d_Xaf.NGC4945_sci.spw16.cont.I.pbcor.fits
NGC4945        ALMA           325.73             1136.72         2023/06/02_1   3.84763            22.111         member.uid___A001_X2d20_X37ca.NGC_4945_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC4945        ALMA           330.91             1309.78         2023/07/14_1   4.12532            14.297         member.uid___A001_X2d20_X37ce.NGC_4945_sci.spw16_18_20_22.cont.regcal.I.pbcor.fits
NGC4945        ALMA           346.97             25.07           2015/09/01_1   0.13749            14.874         member.uid___A002_X7d1738_X135.continuum_spw1.image.pbcor.fits
NGC4945        ALMA           349.35             1537.47         2018/10/20_1   3.57196            27.337         member.uid___A001_X1354_X10.NGC4945_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC4945        ALMA           349.37             137.54          2018/12/08_1   0.41253            25.641         member.uid___A001_X1354_Xe.NGC4945_sci.spw25_27_29_31.cont.I.pbcor.fits
NGC4945        ALMA           349.40             15.84           2023/05/19_1   0.07830            61.054         member.uid___A001_X3578_Xf6.NGC4945_sci.spw23_25_27_29.cont.I.pbcor.fits
NGC4945        ALMA           351.37             65.62           2017/07/06_1   0.16847            7.775          member.uid___A001_X88f_X6e.NGC4945.continuum.image.pbcor.fits
NGC4945        ALMA           357.78             271.81          2015/12/30_1   0.72369            17.919         member.uid___A001_X2d6_X2d0.ari_l.NGC4945_sci.spw0_1_2_357784MHz.12m.cont.I.pbcor.fits
NGC4945        ALMA           357.84             1461.90         2014/06/15_1   3.48516            17.147         member.uid___A001_X122_X5a.ari_l.NGC4945_sci.spw0_1_2_357842MHz.7m.cont.I.pbcor.fits
NGC4945        ALMA           463.58             2964.01         2023/06/18_1   2.68969            16.992         member.uid___A001_X2d20_X37d2.NGC_4945_sci.spw17_19_21_23.cont.I.pbcor.fits
NGC4945        ALMA           484.37             155.97          2022/08/19_1   0.19900            20.634         member.uid___A001_X1590_X2b43.NGC4945_sci.spw25_27_29_31.cont.I.pbcor.fits
NGC5495        VLA            22.46              0.71*           2003/09/27_1   0.35195            NA             22.4I0.37_AK0574_2003SEP27_1_246.U55.6S.imfits
NGC5495        VLA            33                 0.13            NA             0.19-0.50          6.500          Kamali, 2017, A&A, 605:A84
NGC5495        ALMA           178.39             0.12*           2018/12/06_1   0.69094            NA             member.uid___A001_X133d_X422.NGC_5495_sci.spw23_25_27_29.cont.I.pbcor.fits
NGC5765B       ALMA           177.46             0.44            2018/12/06_1   0.67432            5.559          member.uid___A001_X133d_X426.NGC_5765b_sci.spw23_25_27_29.cont.I.pbcor.fits
NGC5765B       SMA            225.49             3.62*           2023/03/16_1   5.15249            NA             SMA_this_work
NGC5765B       ALMA           225.75             0.39            2017/05/15_1   0.31037            5.228          member.uid___A001_X87d_X5cd.ari_l.NGC5765b_sci.spw0_1_2_3_225749MHz.12m.cont.I.pbcor.fits
NGC5765B       ALMA           312.59             2.44            2014/12/31_1   0.89796            12.514         member.uid___A001_X122_X5f0.ari_l.NGC_5765b_sci.spw0_1_2_3_312586MHz.12m.cont.I.pbcor.fits
NGC5765B       ALMA           316.43             1.90            2015/04/09_1   0.82188            8.751          member.uid___A001_X122_X5f4.ari_l.NGC_5765b_sci.spw0_1_2_3_316427MHz.12m.cont.I.pbcor.fits
NGC5765B       ALMA           472.01             2.17            2022/08/18_1   0.17843            6.263          member.uid___A001_X1590_X2b49.NGC5765B_sci.spw25_27_29_31.cont.I.pbcor.fits
NGC5765B       ALMA           640.34             5.38            2015/05/19_1   0.23954            5.151          member.uid___A001_X122_X608.ari_l.NGC_5765b_sci.spw0_1_2_3_640343MHz.12m.cont.I.pbcor.fits
NGC6264        VLA            21.49              1.53            2004/11/27_1   0.09269            18.216         21.5I0.09_BK0114_2004NOV27_1_63.9U42.3S.imfits
NGC6264        VLA            21.54              1.04            2004/11/27_2   0.09799            10.889         21.5I0.09_BK0114_2004NOV27_1_72.6U42.9S.imfits
NGC6264        VLA            22.46              0.79*           2004/02/13_1   0.86598            NA             22.4I0.86_AK0579_2004FEB13_1_243.U55.6S.imfits
NGC6264        ALMA           176.40             0.12*           2018/11/18_1   0.40733            NA             member.uid___A001_X133d_X42e.NGC_6264_sci.spw23_25_27_29.cont.I.pbcor.fits
NGC6264        SMA            225.49             2.62*           2023/03/16_1   4.92235            NA             SMA_this_work
NGC6323        SMA            225.49             6.24*           2023/03/16_1   5.11234            NA             SMA_this_work
UGC3789        VLA            33                 0.21            NA             0.19-0.50          10.500         Kamali, 2017, A&A, 605:A84
UGC3789        SMA            225.53             6.42*           2023/03/16_1   5.35078            NA             SMA_this_work
UGC6093        VLA            4.86               0.44*           1989/03/18_1   1.33470            NA             4.89I1.33_AK0219_1989MAR18_1_125.U2.76M.imfits
UGC6093        ALMA           176.06             0.13*           2018/10/31_1   0.37165            NA             member.uid___A001_X133d_X416.UGC_6093_sci.spw23_25_27_29.cont.I.pbcor.fits
UGC6093        SMA            225.52             6.04*           2023/03/16_1   5.93093            NA             SMA_this_work
WISEAJ043703   ALMA           85.87              0.17*           2016/07/18_1   1.05980            NA             member.uid___A001_X5a3_X163.ari_l._WISEP_J043703.69p245606.9__sci.spw0_1_2_3_85875MHz.12m.cont.I.pbcor.fits
