CGCG074-064    ALMA           178.30             0.15*           2018/12/06_1   0.69580            NA             member.uid___A001_X133d_X41e.CGCG_074-064_sci.spw23_25_27_29.cont.I.pbcor.fits
NGC1068        ALMA           217.91             14.55           2014/06/28_1   0.49216            72.008         member.uid___A001_X121_X382.ari_l.NGC1068_sci.spw0_1_2_217912MHz.12m.cont.I.pbcor.fits
NGC1068        ALMA           222.63             49.48           2022/07/05_1   5.90065            25.611         member.uid___A001_X15a9_Xc56.ngc1068_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC1068        ALMA           223.66             14.88           2016/10/30_1   0.29599            148.638        member.uid___A001_X879_X2d9.ari_l.NGC1068_sci.spw0_1_2_3_4_223661MHz.12m.cont.I.pbcor.fits
NGC1068        SMA            225.54             49.45           2023/03/16_1   5.88569            7.871          SMA_this_work
NGC1068        ALMA           225.89             49.66           2019/12/20_1   6.12454            32.142         member.uid___A001_X14c3_X123a.NGC1068_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC1068        ALMA           226.16             46.82           2022/07/10_1   5.81444            24.280         member.uid___A001_X15a9_Xc5c.ngc1068_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC1068        ALMA           230.49             12.65           2015/08/05_1   0.23743            54.056         member.uid___A001_X122_X13.ari_l.ngc1068_sci.spw0_1_2_3_4_230491MHz.12m.cont.I.pbcor.fits
NGC1068        ALMA           232.88             46.70           2022/07/21_1   5.66721            23.225         member.uid___A001_X15a9_Xc68.ngc1068_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC1068        ALMA           236.25             46.00           2022/09/11_1   5.54121            28.023         member.uid___A001_X15a9_Xc6e.ngc1068_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC1068        ALMA           249.26             7.65            2021/09/23_1   0.02100            180.650        member.uid___A001_X1465_X2123.ngc1068_sci.spw25_27_29_31.cont.I.pbcor.fits
NGC1068        ALMA           251.76             16.99           2014/06/10_1   0.46406            88.504         member.uid___A001_X121_X37e.ari_l.NGC1068_sci.spw0_1_251759MHz.12m.cont.I.pbcor.fits
NGC1068        ALMA           252.41             11.96           2017/07/23_1   0.12383            287.160        member.uid___A001_X87d_X497.NGC1068_sci.spw22_24_26.cont.I.pbcor.fits
NGC1068        ALMA           259.33             44.01           2021/12/03_1   4.79837            26.153         member.uid___A001_X1590_X1f7.NGC1068_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC1068        ALMA           264.58             10.39           2015/09/19_1   0.13976            70.230         member.uid___A001_X145_X30a.ari_l.NGC_1068_sci.spw0_1_2_3_264584MHz.12m.cont.I.pbcor.fits
NGC1068        ALMA           265.09             46.58           2022/05/28_1   4.75943            27.310         member.uid___A001_X15a9_Xc8c.ngc1068_sci.spw16_18_20_22.cont.I.pbcor.fits
NGC1068        ALMA           265.23             9.29            2019/07/14_1   0.03149            458.217        member.uid___A001_X133d_Xb86.NGC_1068_sci.spw25_27_29_31.cont.I.pbcor.fits
NGC1068        ALMA           266.19             11.90           2016/10/19_1   0.16319            103.093        member.uid___A001_X88e_X62.NGC_1068_sci.spw22_24_26.cont.I.pbcor.fits
NGC1068        ALMA           266.19             10.32           2017/09/11_1   0.05071            181.816        member.uid___A001_X88e_X60.NGC_1068_sci.spw22_24_26.cont.I.pbcor.fits
NGC1068        ALMA           266.28             8.63            2015/09/19_1   0.14306            36.312         member.uid___A001_X145_X306.ari_l.NGC_1068_sci.spw0_1_2_266285MHz.12m.cont.I.pbcor.fits
NGC1068        ALMA           266.35             7.44            2019/06/08_1   0.01942            434.186        member.uid___A001_X133d_Xb82.NGC_1068_sci.spw22_24_26.cont.I.pbcor.fits
NGC1068        ALMA           297.84             12.30           2016/06/02_1   0.35628            44.876         member.uid___A001_X2fe_X4cf.ari_l.NGC1068_sci.spw0_1_2_3_297842MHz.12m.cont.I.pbcor.fits
NGC1068        ALMA           322.73             7.37            2021/09/24_1   0.01824            146.113        member.uid___A001_X1465_X212f.ngc1068_sci.spw25_27_29_31.cont.I.pbcor.fits
NGC1068        ALMA           346.67             6.70            2015/09/24_1   0.12736            60.062         member.uid___A001_X12b_X231.ari_l.NGC_1068_sci.spw0_1_2_3_346667MHz.12m.cont.I.pbcor.fits
